Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
587,finished,developer,R/CRAN,central,5+ years,Important,Very Important,Extremely important,Somewhat Important,Somewhat Important,Very Important,Not Important,Important,Somewhat Important,Somewhat Important,Somewhat Important,Confident,Low influence,Medium influence,High influence,Highest influence,Low influence,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Somewhat Important,Extremely important,Somewhat Important,Somewhat Important,Very Important,Not Important,Somewhat Important,Not Important,Important,Somewhat Important,Less than once a year,Never,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,I don't know,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,No,Several times a week,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Just name,Just name,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Coursework,5+ years,5+ years,Great importance,(mid-hi importance),(mid-hi importance),(mid-hi importance),12.38,Little importance,Little importance,Little importance,(mid-low importance),3.45,5.2,(mid importance),(mid-hi importance),Little importance
588,abandoned,developer,Haskell (Cabal/Hackage),lead,<5 years,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,NA,Low influence,Low influence,Low influence,Low influence,Low influence,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,abandoned,developer,Haskell (Cabal/Hackage),user,<5 years,Somewhat Important,Very Important,Not Important,Important,Extremely important,Very Important,Important,Extremely important,Extremely important,Important,Very Important,Confident,Medium influence,High influence,Highest influence,Medium influence,Lowest influence,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Important,Extremely important,Important,Very Important,Important,Important,Somewhat Important,Very Important,Important,Very Important,Very Important,Several times a year,Several times a year,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,No,No,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590,abandoned,developer,Haskell (Stack/Stackage),user,<5 years,Very Important,Very Important,Extremely important,Extremely important,Important,Very Important,Important,Important,Somewhat Important,Very Important,Very Important,Confident,Medium influence,Medium influence,High influence,Medium influence,Lowest influence,Somewhat agree,Somewhat disagree,Strongly disagree,I don't know,Strongly disagree,I don't know,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,self-published,has rev dependencies,installable package,Not Important,Extremely important,Extremely important,Extremely important,Important,Important,Not Important,Extremely important,Very Important,Very Important,Extremely important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592,abandoned,developer,Haskell (Stack/Stackage),lead,<5 years,Very Important,Somewhat Important,Extremely important,Extremely important,Important,I don't know,Extremely important,I don't know,I don't know,Extremely important,I don't know,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,finished,developer,Ruby/Rubygems,lead,5+ years,Important,Somewhat Important,I don't know,Extremely important,Important,Important,I don't know,Important,Somewhat Important,Not Important,Important,Slightly confident,Medium influence,High influence,Low influence,Lowest influence,Low influence,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,I don't know,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Somewhat Important,Important,Important,Important,Extremely important,Not Important,Somewhat Important,Somewhat Important,Somewhat Important,Important,Less than once a year,Less than once a year,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,I don't know,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Several times a week,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Version range,Version range,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Degree,5+ years,5+ years,Great importance,(mid-hi importance),(mid importance),Great importance,12.42,(mid importance),Little importance,(mid importance),(mid importance),6.91,6.2,(mid-hi importance),(mid-hi importance),Little importance
594,abandoned,developer,Haskell (Stack/Stackage),lead,<5 years,Important,Very Important,Extremely important,Extremely important,Somewhat Important,Very Important,Somewhat Important,Important,Important,Very Important,Somewhat Important,Confident,Low influence,High influence,High influence,Low influence,Lowest influence,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Somewhat Important,Very Important,Important,Important,Not Important,Extremely important,Not Important,Very Important,Very Important,Very Important,Very Important,Less than once a year,Less than once a year,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,abandoned,developer,Perl/CPAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,finished,developer,other,lead,<5 years,Important,Very Important,Important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very confident,Medium influence,High influence,Highest influence,Lowest influence,Medium influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,FALSE,in repo,has rev dependencies,installable package,Important,Very Important,Very Important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Extremely important,Extremely important,Extremely important,Less than once a year,Several times a year,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Several times a month,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,None,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,(mid-hi importance),Great importance,Great importance,13.15,7.75,Great importance,Great importance,Great importance
597,abandoned,user,Haskell (Cabal/Hackage),user,5+ years,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,NA,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,finished,developer,Haskell (Stack/Stackage),lead,5+ years,Somewhat Important,I don't know,Extremely important,Extremely important,I don't know,Very Important,Important,Important,Very Important,I don't know,Important,Confident,Medium influence,Medium influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,I don't know,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Somewhat Important,Not Important,Important,Extremely important,Somewhat Important,Very Important,Very Important,Important,Somewhat Important,Not Important,Important,Several times a year,Less than once a year,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Several times a month,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,snapshot,I don't know,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Degree,<5 years,5+ years,(mid importance),(mid importance),Great importance,Great importance,11.46,(mid importance),Little importance,(mid-low importance),Great importance,7.53,4.65,(mid importance),(mid importance),(mid importance)
599,finished,developer,R/CRAN,central,5+ years,Somewhat Important,Important,Very Important,Extremely important,Important,Somewhat Important,Not Important,Important,Somewhat Important,Important,Important,Very confident,Medium influence,High influence,High influence,Highest influence,Lowest influence,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,I don't know,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Not Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Not Important,Important,Somewhat Important,Important,Somewhat Important,Several times a year,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,I don't know,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,No,Several times a year,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Version range,Version range,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,None,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid importance),Great importance,11.64,(mid importance),Little importance,(mid-hi importance),Little importance,6.29,7.2,Great importance,(mid-hi importance),(mid importance)
600,finished,user,Node.js/NPM,user,<5 years,Important,Very Important,Somewhat Important,Important,Extremely important,Very Important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Confident,High influence,Highest influence,Highest influence,I don't know/Not Applicable,Medium influence,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,I don't know,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,TRUE,self-published,no rev dependencies,NA,Somewhat Important,Extremely important,Somewhat Important,Important,Important,Extremely important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Several times a month,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,No,Several times a month,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,snapshot,Version range,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Coursework,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,7.75,Great importance,Great importance,Great importance
601,abandoned,developer,Haskell (Cabal/Hackage),lead,5+ years,Very Important,Extremely important,Somewhat Important,Very Important,Extremely important,Extremely important,Somewhat Important,Important,Important,Very Important,Somewhat Important,Confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,abandoned,developer,Python/PyPi,committer,5+ years,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Extremely important,Important,Very Important,Extremely important,Very Important,Extremely important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,abandoned,developer,Rust/Cargo,lead,<5 years,Extremely important,Very Important,Extremely important,Very Important,Very Important,Very Important,I don't know,Important,Important,I don't know,Very Important,Confident,Medium influence,High influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,abandoned,developer,Maven,user,<5 years,Not Important,Somewhat Important,Very Important,Important,Very Important,Not Important,Not Important,I don't know,Not Important,Not Important,I don't know,Slightly confident,Medium influence,High influence,Medium influence,High influence,Low influence,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I don't know,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,I don't know,Somewhat disagree,TRUE,in repo,has rev dependencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605,abandoned,developer,Ruby/Rubygems,lead,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,abandoned,developer,other,central,5+ years,Somewhat Important,Important,Extremely important,Important,Somewhat Important,Important,Important,Important,Extremely important,Important,Important,Confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,abandoned,developer,Haskell (Cabal/Hackage),lead,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,abandoned,developer,R/CRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,abandoned,developer,R/CRAN,lead,<5 years,Somewhat Important,Important,Very Important,Somewhat Important,Extremely important,Very Important,Not Important,Extremely important,Extremely important,Important,Very Important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,abandoned,developer,other,central,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,abandoned,user,R/CRAN,submitter,5+ years,Very Important,Important,Not Important,Very Important,Not Important,Extremely important,Important,Somewhat Important,Important,I don't know,I don't know,Confident,Medium influence,I don't know/Not Applicable,I don't know/Not Applicable,Lowest influence,High influence,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Not Important,Not Important,Very Important,Not Important,Important,Somewhat Important,Important,Not Important,Somewhat Important,Very Important,Not Important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Skipped,Skipped,Skipped,Skipped,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Just name,Just name,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,abandoned,user,R/CRAN,user,<5 years,Somewhat Important,Important,Important,Extremely important,Extremely important,Important,Not Important,Extremely important,Important,Somewhat Important,Somewhat Important,Slightly confident,Medium influence,High influence,Highest influence,Highest influence,Lowest influence,Somewhat agree,I don't know,Strongly disagree,I don't know,Strongly disagree,I don't know,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I don't know,I don't know,TRUE,self-published,no rev dependencies,NA,Extremely important,Very Important,Important,Important,Very Important,Very Important,Important,Important,Important,Not Important,Somewhat Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
